y,loglagN,ppt_Sep,ppt_Oct,ppt_Nov,ppt_Dec,ppt_Jan,ppt_Feb,ppt_Mar,ppt_Apr,ppt_May,ppt_Jun,ppt_Jul,ppt_Aug,ppt_Fall,ppt_Win,ppt_Spr,ppt_Sum
6.573680167,-3.022417467,1.43585234,-0.176135038,1.015994531,1.317445006,1.930538899,0.371073042,0.891055184,0.238902085,-0.867205471,0.197145195,-0.585397227,-0.165000144,1.317260388,1.660442452,0.30114411,-0.241288894
6.352629396,-1.859565295,0.510102491,0.448102249,0.176675608,1.47546156,0.532719136,0.297001705,-0.001284764,-0.644230343,-0.697769945,0.361065735,0.27000612,0.458695391,0.598745137,1.097410213,-0.653496069,0.564180193
6.575772948,-2.208150056,1.530531301,0.582553357,-0.793356916,-0.23450329,-0.41857487,-0.638990645,-0.437390754,0.6804683,-1.234315777,0.171263005,-0.66119246,0.517534593,0.450086809,-0.569052043,-0.541449099,0.01475426
6.775936704,-1.856265096,1.41481257,-0.71393947,2.474483149,0.262120165,0.765689096,-0.167627591,2.615351174,-0.518068567,-0.104745603,-1.174610899,-0.487946213,0.341016989,2.080373138,0.395741895,1.439541318,-0.812051757
6.849596365,-1.540617994,-0.689164358,-0.387415351,-1.763389441,-0.194999152,0.584490238,1.010780044,0.756868726,0.329017639,0.789497452,0.490476687,0.930507438,0.011517461,-1.79465394,0.582476205,1.045135986,0.766881023
7.056175284,-1.424460809,-1.067880205,1.629351269,0.672011366,0.284693958,0.985716281,0.943442465,0.253669507,1.734820281,-1.083706421,0.671652021,-0.607053008,-0.353285588,0.821732629,0.970091365,0.516274291,-0.043922296
7.146378401,-1.098697353,0.520622376,-0.71393947,-2.148650586,-1.560713652,-0.955700057,-1.447041594,-1.014392525,-1.770674767,0.507104908,-0.191087662,-0.033174813,1.517801017,-1.670772,-1.80828883,-1.316814127,0.553511728
7.265429723,-0.956452058,-0.152650241,-0.36820805,0.424343487,1.723773288,1.192800691,1.320532908,-1.155288306,-1.004692559,1.222499352,-0.518928741,-0.033174813,-0.600410234,0.043754047,1.940543917,-0.689351099,-0.609350927
7.452112386,-0.76871475,1.078176262,-1.491835166,-0.201705873,0.510431892,-0.496231524,0.882838644,-0.028122056,-0.725334341,-1.036640997,-0.329126011,-1.083480188,0.8117306,-0.407176214,0.409888433,-0.873108128,-0.36931047
7.539292978,-0.474326582,-1.50971536,0.063956226,-1.041024795,-1.233393648,0.875702689,0.061320178,0.569007684,-1.329108553,1.900241456,-0.027167122,0.627326505,0.541070273,-1.427963398,-0.209729961,0.623839381,0.537509031
7.619233416,-0.336847642,1.351693263,-0.992445337,-0.538809374,-0.042626046,-1.771094919,0.337404253,-1.215672212,0.076694088,1.796697524,1.56890129,-0.563741446,-0.85930272,-0.263473164,-0.653931275,0.08153205,0.302802807
7.118826249,-0.21078602,-0.720724012,0.015937973,0.231712915,0.820821552,1.645797836,-0.147426317,1.119172163,1.770866502,-0.933097064,0.015969862,0.703121738,0.140963704,-0.164367612,1.069117135,1.184074228,0.420155919
7.212294469,-0.999900268,0.615301338,0.30404749,-0.105390587,0.3129112,-0.399160707,0.229664126,0.220122892,-0.80643834,-1.12135876,-0.053049312,2.110747498,0.329249148,0.370802368,0.078859428,-0.787952432,1.156279985
7.538228865,-0.852506089,0.909858108,0.870662874,1.050392847,0.290337407,-1.266326671,-0.908340961,-0.397134816,-0.12156013,0.940106808,0.197145195,1.547697194,0.694052197,1.634398154,-0.789738046,0.121868959,1.198953844
7.446876772,-0.338525689,0.815179146,-0.03208028,0.341787528,0.002521541,-1.570481898,-0.356172812,0.240250861,-1.013704114,-0.518921334,-0.898534201,0.98464689,0.199802905,0.61361097,-0.83500697,-0.590749766,0.020088492
7.928766322,-0.482582854,1.919767033,-0.464244555,0.940318234,-0.956864679,-0.224433236,2.876030987,-0.242820389,1.38336962,-0.584812927,-0.570693122,1.645148208,0.317481308,1.342036776,0.630574436,0.247361565,0.60151982
7.961370202,0.277330142,0.720500184,-1.05006724,0.49314012,-2.006546072,-0.826272301,-0.921808477,-0.81982216,-1.860790321,1.034237656,-0.674221884,2.121575389,-0.00025038,0.152770154,-1.754531983,-0.980673219,0.628190981
8.054204897,0.328744646,-1.614914206,-1.635889925,-0.979107825,-0.443310879,-0.010877439,-0.07335498,-0.38371617,0.545294969,0.252951619,-1.493824582,-1.202586983,-1.518301776,-2.31000281,-0.257828192,0.135314595,-2.204286403
7.82084088,0.475139793,-0.815402973,-1.72232278,1.72459985,-1.171315716,0.752746321,-0.335971538,2.058477372,-0.391906792,0.21529928,-0.777750645,-0.509601994,1.376586933,-0.030575117,-0.399293579,1.282675561,-0.107933085
7.949797216,0.107137728,-0.941641589,0.361669394,-0.002195637,-0.702909503,0.118550317,0.000716357,-1.222381535,-0.382895237,-0.067093264,-0.777750645,-0.43380676,0.38808835,-0.258517886,-0.300267808,-1.038937643,-0.518668977
7.992099596,0.310494692,-0.100050818,0.390480346,-0.187946546,-0.386876395,-1.091599201,-1.386437773,0.991695028,1.122034514,1.872002202,-0.889906804,-0.585397227,-0.412124789,0.018977659,-1.253744514,2.111823134,-1.025421051
8.095699306,0.37720319,0.520622376,0.832248272,0.259231568,-0.409450189,-2.00406488,-0.369640328,-1.376695962,0.554306524,-0.660117605,1.991643734,1.22286048,-1.388855533,0.86137485,-1.236768668,-0.958263825,1.204288077
8.107216923,0.540574166,0.604781453,-0.358604399,-0.359938129,1.012698795,-0.211490461,-0.436977907,-0.70576367,1.662727837,-0.387138147,1.327334179,2.121575389,0.188035065,-0.159412334,0.231642046,0.171169625,1.951080607
8.238185388,0.558736807,-1.457115936,-0.425829953,-1.708352135,-0.832708815,-0.056177154,1.152188961,-1.188834921,-0.770392118,-0.189463366,0.179890402,-0.585397227,-0.83576704,-2.136568094,0.042078428,-1.26751346,-0.556008603
8.242493153,0.765266787,-1.288797782,0.448102249,0.960957224,0.628944308,0.390348604,-0.349439054,1.488184924,0.202855864,-0.641291436,0.24028218,0.659810176,0.446927551,0.316294314,0.33915574,0.789668896,0.676199073
8.135127177,0.772059892,-0.783843319,0.476913201,1.291181062,0.369345684,1.451656203,0.243131642,0.770287372,0.34704075,2.559157391,-1.209120487,-0.812782927,-0.694552956,0.806866796,0.921993133,1.90565671,-1.462828105
7.624130586,0.602749723,0.036707683,0.054352576,1.415015002,3.873927109,1.943481675,0.162326547,0.293925444,-0.310802793,-0.387138147,0.084989037,2.338133198,0.541070273,1.064541231,2.860068931,-0.142561889,1.449662765
7.592366129,-0.203063457,0.489062722,0.678589863,-0.862153549,-1.097950888,1.276928732,-0.942009751,0.025552528,-0.761380563,-0.989575573,2.724972464,-0.715331913,-0.0355539,-0.040485672,-0.387976348,-0.83277122,1.316306956
7.747812705,-0.253154237,-0.142130356,-1.309365806,1.655803217,0.002521541,1.309285671,1.738025899,-0.538030597,-0.527080123,0.375321721,0.24028218,-1.105135969,1.600175899,0.450086809,1.303949677,-0.442847766,0.329473969
7.857221566,-0.008023639,-0.720724012,-1.424609612,-0.703921293,-0.341728809,0.332106114,0.559618264,-0.330041587,-0.698299675,1.335456369,-0.329126011,-1.191759093,-0.647481595,-1.581577004,0.209007584,0.068086414,-1.084097607
8.092392347,0.164508044,-0.457726896,0.29444384,-1.157979071,-0.652118468,-1.900522675,-0.181095106,-1.014392525,0.338029195,-0.114158688,-0.234224646,0.05344831,-1.247641449,-0.897748696,-1.23393936,-0.563858493,-0.68403018
8.243458731,0.535359276,-1.141519397,-0.320189797,-0.043473617,0.115390508,-0.010877439,-0.753464529,0.126192371,0.220878975,-0.518921334,0.223027386,-0.141453718,-0.635713755,-0.734224535,-0.263486807,-0.052924313,-0.219951964
8.238801166,0.773582554,0.110346875,-0.310586146,-0.7589586,-0.843995712,0.377405829,-0.376374086,0.622682267,0.320006084,-0.377725062,-1.096964328,-1.267554326,-1.047588165,-0.654940094,-0.416269425,0.395263564,-1.777547814
8.323445808,0.766237833,-0.973201243,-0.838786928,0.238592578,0.341128442,-0.03676299,-0.511049244,-1.376695962,-0.905565449,1.090716165,0.714789005,0.616498614,2.365085517,-0.719358703,-0.059776651,-0.850698735,1.817724798
8.488861616,0.899717722,1.425332455,0.438498598,-1.543240216,-0.776274332,-0.321504053,-0.97567854,-0.564867889,-1.184923666,-0.189463366,1.525764306,-0.812782927,0.894105482,-0.213920388,-0.939691356,-1.056865158,0.948244923
8.240735885,1.160569244,0.141906529,-0.156927737,1.380616685,0.025095334,1.102201262,-0.834269624,-0.189145806,0.365063861,-0.773074623,0.145380815,0.010136749,-0.84753488,0.980301512,0.143933506,-0.312873282,-0.289296985
8.389889225,0.769288778,-0.394607588,0.755419067,0.142277292,-0.443310879,-1.188670018,0.923241191,-1.235800181,0.175821198,-1.394338219,-1.295394455,-0.43380676,1.035319565,0.306383759,-0.354024655,-1.401969824,-0.545340138
7.983098941,1.004495293,-0.426167242,2.099930147,-0.476892405,0.628944308,0.972773506,0.519215717,0.763578049,-0.743357452,0.422387145,0.499104084,-1.397489012,-1.506533936,0.539281806,0.958774134,0.341481019,-1.062760678
8.056322133,0.363009658,-0.678644473,-0.71393947,-0.187946546,0.064599473,0.07972199,-0.68612695,0.730031434,1.302265622,-0.622465266,2.190073861,0.389112915,0.129195864,-0.823419532,-0.221047191,0.838969563,1.604355504
8.222910717,0.478478556,-1.246718244,1.014717633,-1.020385805,-1.205176406,-1.007471159,-1.265230131,-1.269346796,0.842676297,0.036450669,1.931251957,-0.964373393,0.046820982,-0.798643144,-1.576285596,-0.411474615,0.740209861
8.193861834,0.741179481,-0.804883089,-0.320189797,1.0779115,0.815178103,-0.140305195,-0.23496517,1.286905236,2.446733156,1.429587217,0.041852053,-0.672020351,-0.494499671,0.232054595,0.248617892,2.757213677,-0.529337441
8.317602579,0.695371008,-1.204638705,0.515327803,0.341787528,-0.860926057,-0.120891032,-0.093556254,0.877636538,0.626398967,1.005998402,-0.691476677,-0.108970047,-1.565373137,-0.055351505,-0.523783119,1.376795015,-1.190782254
8.44684154,0.890503276,-0.615525165,0.006334323,-0.662643314,0.612013963,-0.923343118,-1.197892551,-0.4508094,-0.346849015,-0.961336319,-0.803632836,-0.119797937,-0.929909762,-0.763956201,-0.600174428,-0.931372553,-0.97741296
8.455885712,1.094305923,2.193284034,0.313651141,-0.084751597,-0.426380534,-0.353860992,0.916507434,1.716301903,0.644422078,-1.008401742,-0.27736163,-0.910233941,3.000548892,1.133915117,0.016614658,0.986871562,0.740209861
8.468702282,1.108568078,1.067656377,-0.272171544,0.245472241,-0.324798464,-0.496231524,-1.312366436,-1.792673983,-1.356143219,0.62947501,-1.243630074,0.5190476,0.140963704,0.539281806,-0.931203433,-1.572281217,-0.449323956
8.517459156,1.128779097,0.015667913,-0.406622652,-0.277382169,0.3129112,-0.845686465,-0.787133319,-0.115343254,-1.202946777,-0.358898892,-1.519706772,-0.152281608,-1.553605297,-0.402220937,-0.543588273,-0.846216856,-1.718871258
8.479698987,1.205665973,0.520622376,4.011056611,-0.944709509,1.345662248,0.027950888,3.145381303,0.649519559,1.446450508,-1.592012999,-0.65696709,-0.693676132,-0.694552956,1.634398154,2.008447303,0.395263564,-1.062760678
